sample_id,description,category,l5x_path,predicted_bytes,actual_bytes,delta,delta_pct,controller_model,firmware_rev,date_tested,notes,error_count,warning_count,message_value,window_title
axis_baseline_motiongroup_only,"Baseline: MotionGroup only, 0 axes (MOTION_GROUP unmodeled predefined structure)",axis,samples/generated/axis/axis_baseline_motiongroup_only.L5X,0,19296,19296,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CommentI in axis_baseline_motiongroup_only.ACD [1756-L81E 35.11]*
axis_cip_drive_only,MotionGroup + 1 AXIS_CIP_DRIVE instance (unmodeled predefined structure),axis,samples/generated/axis/axis_cip_drive_only.L5X,0,42024,42024,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CommentI in axis_cip_drive_only.ACD [1756-L81E 35.11]*
axis_composite_udt_10_instance,"ts_CIPAxis-shaped composite UDT, array of 10 instances",axis,samples/generated/axis/axis_composite_udt_10_instance.L5X,6972,20424,19184,1547.1,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CompositeUdt in axis_composite_udt_10_instance.ACD [1756-L81E 35.11]*
axis_composite_udt_1_instance,"ts_CIPAxis-shaped composite UDT, 1 instance",axis,samples/generated/axis/axis_composite_udt_1_instance.L5X,5856,19232,19108,15409.68,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CompositeUdt in axis_composite_udt_1_instance.ACD [1756-L81E 35.11]*
axis_composite_udt_def_only,"ts_CIPAxis-shaped composite UDT (nested UDT x2, hidden-bit BOOL, STRING, 4 DINT), 0 instances",axis,samples/generated/axis/axis_composite_udt_def_only.L5X,5648,19016,19016,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CompositeUdt in axis_composite_udt_def_only.ACD [1756-L81E 35.11]*
axis_coordinate_system_only,MotionGroup + 1 COORDINATE_SYSTEM instance (unmodeled predefined structure),axis,samples/generated/axis/axis_coordinate_system_only.L5X,0,28912,28912,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CommentI in axis_coordinate_system_only.ACD [1756-L81E 35.11]*
axis_full_combo,"Real AXIS_CIP_DRIVE tag + ts_CIPAxis-shaped composite UDT (1 instance) + AOI-with-InOut-axis call, all together -- additivity check against the individually-confirmed constants (unmodeled predefined structure)",axis,samples/generated/axis/axis_full_combo.L5X,0,44792,44792,,5069-L306ER,35.11,2026-08-22,,2,0,0,Logix Designer - AxisFullCombo in axis_full_combo.ACD [1756-L81E 35.11]
axis_servo_only,MotionGroup + 1 AXIS_SERVO instance (unmodeled predefined structure),axis,samples/generated/axis/axis_servo_only.L5X,0,36184,36184,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CommentI in axis_servo_only.ACD [1756-L81E 35.11]*
axis_virtual_only,MotionGroup + 1 AXIS_VIRTUAL instance (unmodeled predefined structure),axis,samples/generated/axis/axis_virtual_only.L5X,0,36184,36184,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CommentI in axis_virtual_only.ACD [1756-L81E 35.11]*
camprofile_n00001,"1 CAM_PROFILE tag, array of 1 elements (unmodeled predefined structure)",axis,samples/generated/axis/camprofile_n00001.L5X,0,18280,18280,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CamProfileN1 in camprofile_n00001.ACD [1756-L81E 35.11]*
camprofile_n00005,"1 CAM_PROFILE tag, array of 5 elements (unmodeled predefined structure)",axis,samples/generated/axis/camprofile_n00005.L5X,0,18504,18504,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CamProfileN5 in camprofile_n00005.ACD [1756-L81E 35.11]*
camprofile_n00020,"1 CAM_PROFILE tag, array of 20 elements (unmodeled predefined structure)",axis,samples/generated/axis/camprofile_n00020.L5X,0,19344,19344,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CamProfileN20 in camprofile_n00020.ACD [1756-L81E 35.11]*
camprofile_n00050,"1 CAM_PROFILE tag, array of 50 elements (unmodeled predefined structure)",axis,samples/generated/axis/camprofile_n00050.L5X,0,21024,21024,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - CamProfileN50 in camprofile_n00050.ACD [1756-L81E 35.11]*
motioninstr_mah_n00010,"10 rungs of MAH(Axis_Cip_Drive,MotionInstr1) -- corpus-confirmed call syntax (unmodeled predefined structure)",axis,samples/generated/axis/motioninstr_mah_n00010.L5X,0,42712,42712,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - MAHN10 in motioninstr_mah_n00010.ACD [1756-L81E 35.11]*
motioninstr_mah_n00100,"100 rungs of MAH(Axis_Cip_Drive,MotionInstr1) -- corpus-confirmed call syntax (unmodeled predefined structure)",axis,samples/generated/axis/motioninstr_mah_n00100.L5X,0,48112,48112,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - MAHN100 in motioninstr_mah_n00100.ACD [1756-L81E 35.11]*
motioninstr_maj_n00010,"10 rungs of MAJ(Axis_Cip_Drive,MotionInstr1) -- standard documented 2-operand signature, not independently corpus-confirmed for this exact mnemonic (unmodeled predefined structure)",axis,samples/generated/axis/motioninstr_maj_n00010.L5X,0,42112,42112,,5069-L306ER,35.11,2026-08-22,,10,0,0,Logix Designer - MAJN10 in motioninstr_maj_n00010.ACD [1756-L81E 35.11]
motioninstr_maj_n00100,"100 rungs of MAJ(Axis_Cip_Drive,MotionInstr1) -- standard documented 2-operand signature, not independently corpus-confirmed for this exact mnemonic (unmodeled predefined structure)",axis,samples/generated/axis/motioninstr_maj_n00100.L5X,0,42112,42112,,5069-L306ER,35.11,2026-08-22,,100,0,0,Logix Designer - MAJN100 in motioninstr_maj_n00100.ACD [1756-L81E 35.11]
